target,ids,date,flag,user,text,theme,sentiment
0,1467810672,Mon Apr 06 22:19:49 PDT 2009,NO_QUERY,scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,Education,Negative
0,1467824664,Mon Apr 06 22:23:23 PDT 2009,NO_QUERY,a_mariepyt,Damm back to school tomorrow ,Education,Negative
0,1467855673,Mon Apr 06 22:31:29 PDT 2009,NO_QUERY,IluvJoelMadden,Going to school soon... can't find anything to wear!! gosh it's so hard ,Education,Negative
0,1467872247,Mon Apr 06 22:35:51 PDT 2009,NO_QUERY,OhShayLaVie,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!,General Child Topic,Negative
0,1467890212,Mon Apr 06 22:40:43 PDT 2009,NO_QUERY,MorganWillis,"Mraow, I feel like dancing, but first art school wants to rape me some more. ",Education,Negative
0,1467894746,Mon Apr 06 22:41:54 PDT 2009,NO_QUERY,jenners101,"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family.",General Child Topic,Negative
0,1467894750,Mon Apr 06 22:41:54 PDT 2009,NO_QUERY,tilleywilly,walking home from school drains all my energy ,Education,Negative
0,1467915670,Mon Apr 06 22:47:41 PDT 2009,NO_QUERY,lizziehalfpenny,"why to we, the only school in the world, be in this week.My school is silly  anyway... look on the bright side. When i'm off, u will be in",Education,Negative
0,1467930157,Mon Apr 06 22:51:50 PDT 2009,NO_QUERY,sunshinegarma,Duckling in famous children's book stolen from Boston's Public Garden - The Boston Globe http://tinyurl.com/dc2htx via @ShareThis OH NO!! ,General Child Topic,Negative
0,1467946137,Mon Apr 06 22:56:25 PDT 2009,NO_QUERY,kelilyma,Can't sleep again. Face is kinda swollen. Don't let me be allergic to the thing that'll get me to Thursday. School tomorrow? Doubtful. ,Education,Negative
0,1467962336,Mon Apr 06 23:00:55 PDT 2009,NO_QUERY,umfoo,"my heart is broken every morning dropping Foo at pre school, now i understand when moms say &quot;he has my heart broken&quot;. ",Education,Negative
0,1467963715,Mon Apr 06 23:01:18 PDT 2009,NO_QUERY,missmadison,@Born_4_Broadway Lost  and it was St. Ignacius Prepatory School. Haha.,Education,Negative
0,1467979291,Mon Apr 06 23:05:41 PDT 2009,NO_QUERY,MeghTW,watching Fallon with mom and working on a project...school is hard ,Education,Negative
0,1467982606,Mon Apr 06 23:06:38 PDT 2009,NO_QUERY,shesaywat,@JustGelo Its sad knowing how they found her body. What a crazy world we live in. No child deserves that ya know. ,General Child Topic,Negative
0,1467998037,Mon Apr 06 23:11:06 PDT 2009,NO_QUERY,amitgupta,Have an invite for &quot;Healthy Dining&quot; session at Ashok Hotel today with Exec Chef R.Chopra but damn workload - will have to skip it! ,Health,Negative
0,1468002902,Mon Apr 06 23:12:29 PDT 2009,NO_QUERY,niko_the_best,@ school  at least last day!!!!!!,Education,Negative
0,1468010346,Mon Apr 06 23:14:43 PDT 2009,NO_QUERY,Kelsey_Leigh,Why does school take over your life so much you don't get sleep anymore  .. I am still doing school work and have more to do as well,Education,Negative
0,1468018399,Mon Apr 06 23:17:06 PDT 2009,NO_QUERY,murielara,"Okay, so.. STILL NO SCHOOL!!!! ",Education,Negative
0,1468021699,Mon Apr 06 23:18:07 PDT 2009,NO_QUERY,coletje1,"making myself ready for school...don't feel like going, but have two tests ",Education,Negative
0,1468031439,Mon Apr 06 23:21:06 PDT 2009,NO_QUERY,xmidnightdreams,"@endearingevania I sure wish I could go with you guys tmrw. But as per usual, school interferes. ",Education,Negative
0,1468051743,Mon Apr 06 23:27:33 PDT 2009,NO_QUERY,carlygirvan,Grr not down to go to school today ,Education,Negative
0,1468052359,Mon Apr 06 23:27:45 PDT 2009,NO_QUERY,sashasimply,"bedtime, school tomorrow, and i still have no books  being broke suckssss",Education,Negative
0,1468062288,Mon Apr 06 23:30:43 PDT 2009,NO_QUERY,PunkRockMom,@GirlsGoneChild ,General Child Topic,Negative
0,1468068550,Mon Apr 06 23:32:40 PDT 2009,NO_QUERY,trellar,Feel like I'm stuck in a rut. Waiting to hear back from schools is killing me.  Also decided to take a break from #wow for awhile.,Education,Negative
0,1468072756,Mon Apr 06 23:33:59 PDT 2009,NO_QUERY,heartdog,"@Health4UandPets saw the one with a GSD covered in them, and I could not stop crying. I just bawled and bawled ",Health,Negative
0,1468074521,Mon Apr 06 23:34:31 PDT 2009,NO_QUERY,h11wiscan,I am not wanting to go to school tomorrow. ,Education,Negative
0,1468098976,Mon Apr 06 23:42:27 PDT 2009,NO_QUERY,Stephfy,i miss my old friends from elementary ans middle school ,Education,Negative
0,1468106399,Mon Apr 06 23:44:57 PDT 2009,NO_QUERY,robotwarlord,The one day I have to go to school is the same day something exciting happens at parliament square ,Education,Negative
0,1468114836,Mon Apr 06 23:47:42 PDT 2009,NO_QUERY,Angie_Li,@baf03 hi steven! man it's only been a week and i'm ALREADY behind on school work ,Education,Negative
0,1468117261,Mon Apr 06 23:48:30 PDT 2009,NO_QUERY,T_Vee,It's official! I'm going to have an educational summer. Owh God. Bless me ,Education,Negative
0,1468120614,Mon Apr 06 23:49:38 PDT 2009,NO_QUERY,stevierockall,"I'm so tired, have to get up and go in to school during holidays for the 3rd time  xxx",Education,Negative
0,1468122943,Mon Apr 06 23:50:22 PDT 2009,NO_QUERY,SimplyBijoux,@ditty003 I'm looking at mine And I can't even get to it... School work sucks...atleast when u get home that's it  LOL,Education,Negative
0,1468126027,Mon Apr 06 23:51:22 PDT 2009,NO_QUERY,rodarte,@childhoodflames whats wrong! ,General Child Topic,Negative
0,1468127300,Mon Apr 06 23:51:48 PDT 2009,NO_QUERY,Stephfy,I miss my friends from elementary and middle school ,Education,Negative
0,1468164104,Tue Apr 07 00:03:54 PDT 2009,NO_QUERY,katiewak,Only two more days until holidays! All my friends are in public schools so we can't hang out on Thursday  THEN DISNEYLAND OMG.,Education,Negative
0,1468188669,Tue Apr 07 00:11:49 PDT 2009,NO_QUERY,kimkoster,"Feeling a bit better today, at least I can walk. I have NO idea what happened yesterday. On my way to school now... Ugh... ",Education,Negative
0,1468192673,Tue Apr 07 00:13:05 PDT 2009,NO_QUERY,snickel727,Woo for three pages down and seven to go...why in heck do I procrastinate!  Goal #1 for Grad School DO NOT WAIT!!!!!,Education,Negative
0,1468192780,Tue Apr 07 00:13:08 PDT 2009,NO_QUERY,Dannny91,"i dont want to go to school tomorrow for an exam, after having one and a half weeks off ",Education,Negative
0,1468193142,Tue Apr 07 00:13:15 PDT 2009,NO_QUERY,T_Vee,summer camp or summer school?? Both are boarding lol. ,Education,Negative
0,1468195501,Tue Apr 07 00:14:03 PDT 2009,NO_QUERY,shawna_lee,"@dark_butterfly Not just you. I thought he looked paler, too  Probably from drama filming. Jun looks healthier than ever, though.",Health,Negative
0,1468205464,Tue Apr 07 00:17:20 PDT 2009,NO_QUERY,momentbymoment1,Airlie is  sick   and now Mason is sick Too. He is going to miss his school disco ,Education,Negative
0,1468227353,Tue Apr 07 00:24:53 PDT 2009,NO_QUERY,MasumiPatootie,"im going 2 bed nowww - surprising??? Not rly, i have school 2morow, thats right, my spring break days r over ",Education,Negative
0,1468252418,Tue Apr 07 00:33:25 PDT 2009,NO_QUERY,jasmine_pamela,"doesn't want to go to school tomorrow. it's the last day, but it's also twyla's day off ",Education,Negative
0,1468273616,Tue Apr 07 00:40:47 PDT 2009,NO_QUERY,nabilaqila,i am so screwed up! a confused and dumb child!  i NEVER felt so bad all my life! i wish i have any specialty! too bad i have none ='(,General Child Topic,Negative
0,1468286830,Tue Apr 07 00:45:25 PDT 2009,NO_QUERY,MeganLovesJo, there is no way i can go to school today im way to sick,Education,Negative
0,1468289520,Tue Apr 07 00:46:23 PDT 2009,NO_QUERY,body0project,"School work BORING,  Working on a business law paper right now can't wait till i'm done.  Hopefully tomorrow grrrr...   ",Education,Negative
0,1468296603,Tue Apr 07 00:48:54 PDT 2009,NO_QUERY,joelfrancis25,is going to school to do dt ,Education,Negative
