target,ids,date,flag,user,text,theme,sentiment
4,1467822272,Mon Apr 06 22:22:45 PDT 2009,NO_QUERY,ersle,I LOVE @Health4UandPets u guys r the best!! ,Health,Positive
4,1467822530,Mon Apr 06 22:22:49 PDT 2009,NO_QUERY,claaare,crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! ,Education,Positive
4,1467841560,Mon Apr 06 22:27:50 PDT 2009,NO_QUERY,MissEmm_Yum,Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!,Education,Positive
4,1467843308,Mon Apr 06 22:28:19 PDT 2009,NO_QUERY,itsbushrax,"back from school, long walk! its flippin cold outside  2 days ago it was sunny, next day raining, and today snowing!",Education,Positive
4,1467843613,Mon Apr 06 22:28:24 PDT 2009,NO_QUERY,molllyb143,city all day soo happy to be home. school in the morning ,Education,Positive
4,1467863612,Mon Apr 06 22:33:34 PDT 2009,NO_QUERY,alisonshiner_,just got home from school (: meant to be getting my hair cut .. but i cbf. lol dancing soon ,Education,Positive
4,1467898572,Mon Apr 06 22:42:58 PDT 2009,NO_QUERY,PetParentAuthor,A healthy remedy for you AND your dog  http://PetParenthood.blogspot.com #dogs,Health,Positive
4,1467917605,Mon Apr 06 22:48:16 PDT 2009,NO_QUERY,Kellye9,Watching Keith Olbermann(late late rerun) then it's on to The Daily Show which is having Michael J. Fox on as guest. My high school crush ,Education,Positive
4,1467935366,Mon Apr 06 22:53:19 PDT 2009,NO_QUERY,AZ_Kelli,"@azmamakim Now I get to take Ash to and from school   Mornings will be crazy, but my kiddos will love it!",Education,Positive
4,1467953686,Mon Apr 06 22:58:36 PDT 2009,NO_QUERY,caseysevenfold,Back from school. NO MORE SCHOOL FOR TWO WEEKS ,Education,Positive
4,1467954533,Mon Apr 06 22:58:50 PDT 2009,NO_QUERY,xo_amanda_xo,"@nicolerichie YES! lol...when you live in canada, anne part of your childhood. I grew up with all the books and tv series ",General Child Topic,Positive
4,1467969683,Mon Apr 06 23:02:56 PDT 2009,NO_QUERY,Sofii92,TODAY is THE day  Canï¿½t wait to see you Jacqui   Canï¿½t stop singing lady gagaï¿½s poker face. itï¿½s addictive xD. Last day of school today!,Education,Positive
4,1467986773,Mon Apr 06 23:07:51 PDT 2009,NO_QUERY,prefu74,@ work and then &quot;school&quot;..... ,Education,Positive
4,1467990285,Mon Apr 06 23:08:53 PDT 2009,NO_QUERY,pleasefindthis,"@alix_says, it's just like school except there's even more homework and everyone's a lot nicer (normally) ",Education,Positive
4,1468021209,Mon Apr 06 23:17:58 PDT 2009,NO_QUERY,kimberleykeane,anyone who reads my twitter is either very into education or bored le crazy! might throw in some naughty words to spruce my page up tehe ,Education,Positive
4,1468021273,Mon Apr 06 23:18:00 PDT 2009,NO_QUERY,DimaShay,"Progress on the Math Quilt is slow, but steady. Tomorrow I will teach children and finish sewing the Quilt. Then on to my beloved comics ",General Child Topic,Positive
4,1468053176,Mon Apr 06 23:28:01 PDT 2009,NO_QUERY,sarahagg,All the weight lost through healthy eating (slimming world) ,Health,Positive
4,1468054725,Mon Apr 06 23:28:30 PDT 2009,NO_QUERY,fcandle,@aussiecynic is it? why? well then indonesian school could be a great place for me at this point ,Education,Positive
4,1468071565,Mon Apr 06 23:33:36 PDT 2009,NO_QUERY,wrongwayfast,It's world health day! Help make hospitals safe. Go to http://www.clickabrick.org/ (via @addthis) and CLICK A BRICK ,Health,Positive
4,1468115696,Mon Apr 06 23:47:59 PDT 2009,NO_QUERY,blovesb,I personally feel that the school needs to be a little more helpful to innocent kids like us. ,Education,Positive
4,1468133453,Mon Apr 06 23:53:58 PDT 2009,NO_QUERY,kingoushka,@ work.  pears (in liquid state) bought for weekend. they say fruits are healthy! ,Health,Positive
4,1468145515,Mon Apr 06 23:57:59 PDT 2009,NO_QUERY,BaleBabe66,"Can you tell it's spring break here, boys are off school so I don't have to be up at first light and can actually stay up late!!!! ",Education,Positive
4,1468145991,Mon Apr 06 23:58:08 PDT 2009,NO_QUERY,blackfeathers,@darthweef thx. you guys would definately had fun. but i do know you were already having awesome times in sf -part of rev3's scam school! ,Education,Positive
4,1468147680,Mon Apr 06 23:58:44 PDT 2009,NO_QUERY,st2251a,Until we get to 10.0 unemployment It just time to do part-time and school ,Education,Positive
4,1468178943,Tue Apr 07 00:08:39 PDT 2009,NO_QUERY,artisdead,Time for bed! Sleeping to Thursday  pretty stoked for school tomorrow. Goodnight all!,Education,Positive
4,1468195519,Tue Apr 07 00:14:03 PDT 2009,NO_QUERY,yangonthu,"@xwen haha, it was Huggies - we believe in the importance of play between parents and children ",General Child Topic,Positive
4,1468210080,Tue Apr 07 00:18:55 PDT 2009,NO_QUERY,samanthaloree,"Goodnight, can't wait for school in the morning! ",Education,Positive
4,1468251521,Tue Apr 07 00:33:06 PDT 2009,NO_QUERY,basemarketing,@nicolerichie yes I had all the books as a child ,General Child Topic,Positive
4,1468268427,Tue Apr 07 00:38:57 PDT 2009,NO_QUERY,livnenna,@suziam I have that movie on DVD! 'Twas a childhood favourite ,General Child Topic,Positive
4,1468281058,Tue Apr 07 00:43:24 PDT 2009,NO_QUERY,IconerMaddyct,"@Framusic Ciao !!Come stai ?! Im in school during my Italian lesson, just thinking of you  Im in holiday this saturday, I cant wait! Love!",Education,Positive
4,1468297657,Tue Apr 07 00:49:16 PDT 2009,NO_QUERY,asmunder,Wrote so intensively that it took a few songs to realize Spotify play had moved on from PMMP's new album to PMMP's children album. ,General Child Topic,Positive
4,1468321679,Tue Apr 07 00:57:55 PDT 2009,NO_QUERY,alisa91,today i've completed all my legal and psych homework  i'm currently doing my health homework trying to get it done all tonight!,Health,Positive
4,1468350413,Tue Apr 07 01:08:06 PDT 2009,NO_QUERY,taliasunset,"@Diferenshul @yung_flip movin to mia til the fall, then back to la for good. Takin online classes @ a cali school that is TBD. ",Education,Positive
4,1468352993,Tue Apr 07 01:09:03 PDT 2009,NO_QUERY,talimack,@Nisha7 I don't know but are they starkers like my dear child ,General Child Topic,Positive
4,1468380260,Tue Apr 07 01:18:59 PDT 2009,NO_QUERY,SiobhanC,"@juliwooli I can hardly believe it,first Beth now you! Whoop  It's like a new spin on an old school reunion!How are you doing sweetpea?!X",Education,Positive
4,1468391584,Tue Apr 07 01:23:06 PDT 2009,NO_QUERY,noahleggett,"going to bed, two more days of school after tomorrow, then a three day weekend. ",Education,Positive
4,1468393542,Tue Apr 07 01:23:49 PDT 2009,NO_QUERY,mcreemfly,"day off school tomorrow, so happy. I wont have to run 4km.  ",Education,Positive
4,1468407421,Tue Apr 07 01:28:53 PDT 2009,NO_QUERY,lanaerchova,"@nicolerichie omg, yes. summer vacation! they're so old school ",Education,Positive
